long,lat,order,hole,piece,group,id,total
-87.66514264,42.02291711,328,FALSE,1,1.1,1,34
-87.66516385,42.02289802,329,FALSE,1,1.1,1,34
-87.66516385,42.02289802,330,FALSE,1,1.1,1,34
-87.66516692,42.02287946,331,FALSE,1,1.1,1,34
-87.66516695,42.0228794,332,FALSE,1,1.1,1,34
-87.66516951,42.02287486,333,FALSE,1,1.1,1,34
-87.66518702,42.02284385,334,FALSE,1,1.1,1,34
-87.66518963,42.02284169,335,FALSE,1,1.1,1,34
-87.66521564,42.02282014,336,FALSE,1,1.1,1,34
-87.66523663,42.02278739,337,FALSE,1,1.1,1,34
-87.66526726,42.02274728,338,FALSE,1,1.1,1,34
-87.66527633,42.0227196,339,FALSE,1,1.1,1,34
-87.66528403,42.02269609,340,FALSE,1,1.1,1,34
-87.66528326,42.02268168,341,FALSE,1,1.1,1,34
-87.66528303,42.0226774,342,FALSE,1,1.1,1,34
-87.66528227,42.02266334,343,FALSE,1,1.1,1,34
-87.66526711,42.02261789,344,FALSE,1,1.1,1,34
-87.66524865,42.02258829,345,FALSE,1,1.1,1,34
-87.66523029,42.02255964,346,FALSE,1,1.1,1,34
-87.6651991,42.02252388,347,FALSE,1,1.1,1,34
-87.66518403,42.0225066,348,FALSE,1,1.1,1,34
-87.66516508,42.02247178,349,FALSE,1,1.1,1,34
-87.66513917,42.02244488,350,FALSE,1,1.1,1,34
-87.66512801,42.02243331,351,FALSE,1,1.1,1,34
-87.6650514,42.02236201,352,FALSE,1,1.1,1,34
-87.6649815,42.02231426,353,FALSE,1,1.1,1,34
-87.66496297,42.02230426,354,FALSE,1,1.1,1,34
-87.66493883,42.02229124,355,FALSE,1,1.1,1,34
-87.66490006,42.02228461,356,FALSE,1,1.1,1,34
-87.66489664,42.02228403,357,FALSE,1,1.1,1,34
-87.66489658,42.02228402,358,FALSE,1,1.1,1,34
-87.66484617,42.02226592,359,FALSE,1,1.1,1,34
-87.66482302,42.02224799,360,FALSE,1,1.1,1,34
-87.66479294,42.02222469,361,FALSE,1,1.1,1,34
-87.66478633,42.02219521,362,FALSE,1,1.1,1,34
-87.6647747,42.02216201,363,FALSE,1,1.1,1,34
-87.66474913,42.02208901,364,FALSE,1,1.1,1,34
-87.66472474,42.02204976,365,FALSE,1,1.1,1,34
-87.66469934,42.02202544,366,FALSE,1,1.1,1,34
-87.66469588,42.0220175,367,FALSE,1,1.1,1,34
-87.66468586,42.02199452,368,FALSE,1,1.1,1,34
-87.66466564,42.0219441,369,FALSE,1,1.1,1,34
-87.6646616,42.02193541,370,FALSE,1,1.1,1,34
-87.66463231,42.02187236,371,FALSE,1,1.1,1,34
-87.66463175,42.02185943,372,FALSE,1,1.1,1,34
-87.66463021,42.0218237,373,FALSE,1,1.1,1,34
-87.66463382,42.02181645,374,FALSE,1,1.1,1,34
-87.6646493,42.02178544,375,FALSE,1,1.1,1,34
-87.66467004,42.02176934,376,FALSE,1,1.1,1,34
-87.66467617,42.02176458,377,FALSE,1,1.1,1,34
-87.66470676,42.02174931,378,FALSE,1,1.1,1,34
-87.66471265,42.02174151,379,FALSE,1,1.1,1,34
-87.66471798,42.02173447,380,FALSE,1,1.1,1,34
-87.66471799,42.02173445,381,FALSE,1,1.1,1,34
-87.66469387,42.02169344,382,FALSE,1,1.1,1,34
-87.66464506,42.02161045,383,FALSE,1,1.1,1,34
-87.66459607,42.02156209,384,FALSE,1,1.1,1,34
-87.66455697,42.02152278,385,FALSE,1,1.1,1,34
-87.66452549,42.02149112,386,FALSE,1,1.1,1,34
-87.66444861,42.02142819,387,FALSE,1,1.1,1,34
-87.66434243,42.02135493,388,FALSE,1,1.1,1,34
-87.66426815,42.02130008,389,FALSE,1,1.1,1,34
-87.66426056,42.0212955,390,FALSE,1,1.1,1,34
-87.66420656,42.0212629,391,FALSE,1,1.1,1,34
-87.66420151,42.02126026,392,FALSE,1,1.1,1,34
-87.66418592,42.02125213,393,FALSE,1,1.1,1,34
-87.66418574,42.02125221,394,FALSE,1,1.1,1,34
-87.66417612,42.02125659,395,FALSE,1,1.1,1,34
-87.6640096,42.02133242,396,FALSE,1,1.1,1,34
-87.6640095,42.02133247,397,FALSE,1,1.1,1,34
-87.66394783,42.02108675,398,FALSE,1,1.1,1,34
-87.66385784,42.02072817,399,FALSE,1,1.1,1,34
-87.66385784,42.02072816,400,FALSE,1,1.1,1,34
-87.66386292,42.02072647,401,FALSE,1,1.1,1,34
-87.66388484,42.02071916,402,FALSE,1,1.1,1,34
-87.66388483,42.02071914,403,FALSE,1,1.1,1,34
-87.66387985,42.02070739,404,FALSE,1,1.1,1,34
-87.663869,42.0206818,405,FALSE,1,1.1,1,34
-87.66380887,42.02045022,406,FALSE,1,1.1,1,34
-87.66373859,42.02038988,407,FALSE,1,1.1,1,34
-87.66373182,42.02037076,408,FALSE,1,1.1,1,34
-87.66372851,42.02036139,409,FALSE,1,1.1,1,34
-87.66374065,42.02035392,410,FALSE,1,1.1,1,34
-87.66375366,42.02034592,411,FALSE,1,1.1,1,34
-87.66383819,42.02033175,412,FALSE,1,1.1,1,34
-87.66392682,42.02031688,413,FALSE,1,1.1,1,34
-87.66388492,42.02018149,414,FALSE,1,1.1,1,34
-87.66389016,42.0201768,415,FALSE,1,1.1,1,34
-87.66389165,42.02017546,416,FALSE,1,1.1,1,34
-87.66400744,42.02017669,417,FALSE,1,1.1,1,34
-87.66400752,42.02017669,418,FALSE,1,1.1,1,34
-87.66385471,42.01965899,419,FALSE,1,1.1,1,34
-87.6638622,42.01965028,420,FALSE,1,1.1,1,34
-87.66387784,42.01964235,421,FALSE,1,1.1,1,34
-87.66392709,42.01964239,422,FALSE,1,1.1,1,34
-87.66392718,42.01963655,423,FALSE,1,1.1,1,34
-87.66392772,42.01960266,424,FALSE,1,1.1,1,34
-87.66390575,42.0195608,425,FALSE,1,1.1,1,34
-87.66389938,42.01954987,426,FALSE,1,1.1,1,34
-87.66387932,42.01951545,427,FALSE,1,1.1,1,34
-87.66387919,42.01951543,428,FALSE,1,1.1,1,34
-87.66387682,42.0195152,429,FALSE,1,1.1,1,34
-87.66385521,42.01951308,430,FALSE,1,1.1,1,34
-87.66370197,42.0195098,431,FALSE,1,1.1,1,34
-87.66365799,42.0195062,432,FALSE,1,1.1,1,34
-87.66364483,42.01950441,433,FALSE,1,1.1,1,34
-87.66364233,42.019504070000004,434,FALSE,1,1.1,1,34
-87.66364159,42.01948163,435,FALSE,1,1.1,1,34
-87.66363797,42.01937315,436,FALSE,1,1.1,1,34
-87.66365538,42.0193687,437,FALSE,1,1.1,1,34
-87.66369532,42.01936759,438,FALSE,1,1.1,1,34
-87.66383399,42.01936376,439,FALSE,1,1.1,1,34
-87.66385613,42.01934816,440,FALSE,1,1.1,1,34
-87.66385628,42.01934805,441,FALSE,1,1.1,1,34
-87.66386664,42.0193317,442,FALSE,1,1.1,1,34
-87.66386915,42.01932774,443,FALSE,1,1.1,1,34
-87.66386841,42.01931381,444,FALSE,1,1.1,1,34
-87.66386767,42.0192999,445,FALSE,1,1.1,1,34
-87.66386781,42.01929173,446,FALSE,1,1.1,1,34
-87.66386781,42.01929173,447,FALSE,1,1.1,1,34
-87.66386927,42.01920414,448,FALSE,1,1.1,1,34
-87.66386927,42.01920409,449,FALSE,1,1.1,1,34
-87.66388257,42.01919782,450,FALSE,1,1.1,1,34
-87.66388482,42.01919677,451,FALSE,1,1.1,1,34
-87.66388487,42.01919674,452,FALSE,1,1.1,1,34
-87.66392201,42.0191932,453,FALSE,1,1.1,1,34
-87.663928,42.01919317,454,FALSE,1,1.1,1,34
-87.66394508,42.01919309,455,FALSE,1,1.1,1,34
-87.66395251,42.01919351,456,FALSE,1,1.1,1,34
-87.66396726,42.01919434,457,FALSE,1,1.1,1,34
-87.66397389,42.01919103,458,FALSE,1,1.1,1,34
-87.66397633,42.01918981,459,FALSE,1,1.1,1,34
-87.66398583,42.01918506,460,FALSE,1,1.1,1,34
-87.66399342,42.01916003,461,FALSE,1,1.1,1,34
-87.66398448,42.01910253,462,FALSE,1,1.1,1,34
-87.66398035,42.01907598,463,FALSE,1,1.1,1,34
